cell_id,subject_id,workload_id,mode,run_id,external_wall_seconds,internal_wall_seconds,cpu_seconds,peak_rss_bytes,initialization_seconds,production_seconds,audit_seconds,serialization_hashing_seconds,audit_bytes,event_ledger_bytes,production_residual,production_tangent,production_trial,audit_residual,audit_tangent,audit_trial,output_fingerprint,trajectory_fingerprint,pass_flag
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_03,2.871591799892485,1.1426910060000068,0.6372542600000001,190623744,0.14701701100000264,0.024514034999981504,0.00349529900000789,2.7499999987412593e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_04,3.0271884000394493,1.1613951969999903,0.6490310530000001,190533632,0.15902745099998583,0.026083618999962255,0.004038538000088465,2.8376000045682304e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_05,3.110819600056857,1.2190101510000204,0.683087602,190689280,0.16430591900001446,0.025246426000023803,0.003726035999989108,2.84509999914917e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_06,3.111411500023678,1.2647167869999976,0.7113154939999999,191381504,0.1632726670000011,0.02565327199999956,0.003870161999998345,3.152700003283826e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_07,3.00797210005112,1.2185831780000171,0.6765891629999999,191037440,0.16186325099999976,0.028795629999990524,0.004773237000051722,2.8081000039037463e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_08,3.073739599902183,1.2353507440000158,0.694619376,190394368,0.16632247100000086,0.026745269000002736,0.004154136000011022,3.2478000036917365e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_09,3.110033300006762,1.2546286649999843,0.711860419,190439424,0.15686505599995826,0.027276540999991994,0.004266300000040246,3.060200003801583e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M3,JSS-S01,S01-SMALL,M3_GENERIC_REPLAY,run_10,3.1602109000086784,1.2700153609999916,0.7272411329999999,190902272,0.17446793300001673,0.027608983999982684,0.003928698999970948,2.7164000016455248e-05,640,0,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_01,2.9684619999025017,1.193519703999982,0.67974847,190791680,0.1528702429999953,0.027899300999990828,0.0038847500000542823,0.00028567000003931753,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_02,3.0696969002019614,1.2483097010000392,0.699198505,190296064,0.17222383600000057,0.030175353999993604,0.004954079000071943,0.00029939400002376715,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_03,2.896978999953717,1.1621238349999885,0.664105217,191377408,0.15862943000001906,0.02262137600001779,0.0038468500000021777,0.00040197599997782163,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_04,3.2175335998181254,1.1582672829999865,0.654424267,191254528,0.15811562400000412,0.02440604800000301,0.0038697140000181207,0.0003091209999865896,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_05,3.04050250002183,1.2629364550000446,0.707992476,190951424,0.17503207700002577,0.02611324100001866,0.005829393999988497,0.0003513560000101279,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_06,3.1378910997882485,1.3704916039999944,0.765312647,192122880,0.19816546299995252,0.02739672799998516,0.004828534000012041,0.000291682000010951,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_07,3.109714200021699,1.2290919170000052,0.689853075,189677568,0.14708307500001183,0.028935606000004555,0.004011768999987453,0.0003085550000037074,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_08,2.9933321999851614,1.2050820970000018,0.672994427,190021632,0.16997530899999447,0.02273272799999404,0.0036509170000726954,0.0002708250000296175,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_09,3.1046996999066323,1.1943900910000025,0.676427473,190885888,0.16767067099999622,0.02542541299999357,0.0035997119999819915,0.0002909710000267296,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-SMALL-M6,JSS-S01,S01-SMALL,M6_FULL_TLA,run_10,3.020325800171122,1.186238722999974,0.680407791,190681088,0.16456494199996996,0.02763113200001044,0.004250894999984212,0.00029739100000369945,640,13771,7,5,7,2,2,2,7295b789b512137d81251f4a1ad7bfa9cb25892364221a554dbad9381b71c444,9cb9c51bcb7e8529295c13da80d60e83ae0894c8ec5b849b3912e36cc561f54f,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_01,3.1540085000451654,1.3107213899999692,0.770707718,191488000,0.16513751499996943,0.08809305900001618,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_02,3.0897794000338763,1.2766851140000313,0.7466254499999999,191090688,0.16259956999999758,0.08667309899999509,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_03,2.9269368001259863,1.2278124850000154,0.720272648,191139840,0.15587024799998517,0.08756960600004504,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_04,3.2295937999151647,1.3078657190000058,0.762171355,190754816,0.16070429199999126,0.09082765499999823,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_05,3.022944400086999,1.2624638369999843,0.7234295310000001,189714432,0.1559899719999862,0.08767719600001556,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
