method_id,case_id,candidate_id,rank,score,reason_code
B3_GENERIC_REPLAY,P5C-L08,S02-C04,1,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L08,S02-C05,2,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L08,S02-C01,3,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L08,S02-C02,4,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L08,S02-C03,5,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L08,S02-C06,6,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L08,S02-C07,7,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L08,S02-C08,8,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C05,1,9.0,OWNER+EVENT+SOURCE+VERSION
B6_TLA_PROVENANCE,P5C-L08,S02-C04,2,3.0,SOURCE+VERSION
B6_TLA_PROVENANCE,P5C-L08,S02-C01,3,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C02,4,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C03,5,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C06,6,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C07,7,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L08,S02-C08,8,0.0,NO_VISIBLE_MATCH
