case_id,partition,subject_id,fault_family,b3_top1,b3_top3,b3_rank,b3_rr,b3_exam,b3_set_size,b6_top1,b6_top3,b6_rank,b6_rr,b6_exam,b6_set_size,suspicious_set_reduction,duplicate_gate_pass
P5C-L01,DEVELOPMENT,JSS-S01,F03_PREMATURE_COMMIT,True,True,1,1.0,0.125,3,True,True,1,1.0,0.125,1,0.6666666666666667,True
P5C-L02,DEVELOPMENT,JSS-S01,F03_ROLLBACK_OMISSION,False,True,3,0.3333333333333333,0.375,3,True,True,1,1.0,0.125,1,0.6666666666666667,True
P5C-L03,DEVELOPMENT,JSS-S01,F05_OUTPUT_FEEDBACK,True,True,1,1.0,0.125,1,True,True,1,1.0,0.125,1,0.0,True
P5C-L05,DEVELOPMENT,JSS-S02,F03_PREMATURE_COMMIT,True,True,1,1.0,0.125,3,True,True,1,1.0,0.125,1,0.6666666666666667,True
P5C-L06,DEVELOPMENT,JSS-S02,F05_OUTPUT_FEEDBACK,True,True,1,1.0,0.125,1,True,True,1,1.0,0.125,1,0.0,True
P5C-L07,DEVELOPMENT,JSS-S02,F07_CALLBACK_ORDER_BIAS,False,True,3,0.3333333333333333,0.375,3,True,True,1,1.0,0.125,2,0.33333333333333337,True
P5C-L09,DEVELOPMENT,JSS-S03,F03_PREMATURE_COMMIT,True,True,1,1.0,0.125,3,True,True,1,1.0,0.125,2,0.33333333333333337,True
P5C-L10,DEVELOPMENT,JSS-S03,F05_OUTPUT_FEEDBACK,True,True,1,1.0,0.125,1,True,True,1,1.0,0.125,1,0.0,True
P5C-L11,DEVELOPMENT,JSS-S03,F07_CALLBACK_CACHE,False,True,3,0.3333333333333333,0.375,3,True,True,1,1.0,0.125,3,0.0,True
