method_id,case_id,candidate_id,rank,score,reason_code
B3_GENERIC_REPLAY,P5C-L09,S03-C01,1,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L09,S03-C02,2,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L09,S03-C03,3,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L09,S03-C04,4,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L09,S03-C05,5,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L09,S03-C06,6,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L09,S03-C07,7,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L09,S03-C08,8,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C01,1,9.0,OWNER+EVENT+SOURCE+OWNERSHIP
B6_TLA_PROVENANCE,P5C-L09,S03-C06,2,4.0,EVENT+SOURCE
B6_TLA_PROVENANCE,P5C-L09,S03-C02,3,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C03,4,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C04,5,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C05,6,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C07,7,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L09,S03-C08,8,0.0,NO_VISIBLE_MATCH
