case_id,label,fault,mode,run_id,expected_verdict,observed_verdict,verdict_match,eligible,database_equal,persistent_equal,output_equal,endpoint_equal,blocked_count,false_block,containment_pass,semantic_sha256
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,True,True,False,False,0,False,True,4d3efedb3561b0e3c8c6799b151ae230aad74e95f112f67bf1fc5d9f1243e9ca
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,True,True,False,False,0,False,True,4d3efedb3561b0e3c8c6799b151ae230aad74e95f112f67bf1fc5d9f1243e9ca
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,fa3e122651322ff837324aa51c5c7a545652a8eef1f3e0c25a28a25c2392f117
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,fa3e122651322ff837324aa51c5c7a545652a8eef1f3e0c25a28a25c2392f117
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,fa3e122651322ff837324aa51c5c7a545652a8eef1f3e0c25a28a25c2392f117
SQL-I01,different_authoritative_entry,INVALID_ENTRY,diagnostic,diagnostic-01,INVALID,INVALID,True,False,False,True,True,False,0,False,True,476f4f2c492186dbd8a12b6d6bc67eb146e8439206f4fe09d9ec81fe2730096a
SQL-I01,different_authoritative_entry,INVALID_ENTRY,diagnostic,diagnostic-02,INVALID,INVALID,True,False,False,True,True,False,0,False,True,476f4f2c492186dbd8a12b6d6bc67eb146e8439206f4fe09d9ec81fe2730096a
SQL-I01,different_authoritative_entry,INVALID_ENTRY,diagnostic,diagnostic-03,INVALID,INVALID,True,False,False,True,True,False,0,False,True,476f4f2c492186dbd8a12b6d6bc67eb146e8439206f4fe09d9ec81fe2730096a
SQL-U01,rollback_event_unobservable,MISSING_ROLLBACK_OBSERVATION,diagnostic,diagnostic-01,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,7b92a04dfb8cfaba36a253ec62826aa839f2ac1a09bd185ef00d5d09154654a7
SQL-U01,rollback_event_unobservable,MISSING_ROLLBACK_OBSERVATION,diagnostic,diagnostic-02,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,7b92a04dfb8cfaba36a253ec62826aa839f2ac1a09bd185ef00d5d09154654a7
SQL-U01,rollback_event_unobservable,MISSING_ROLLBACK_OBSERVATION,diagnostic,diagnostic-03,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,7b92a04dfb8cfaba36a253ec62826aa839f2ac1a09bd185ef00d5d09154654a7
SQL-U02,output_provenance_unobservable,MISSING_OUTPUT_PROVENANCE,diagnostic,diagnostic-01,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,a5ef33707a53b9f99974cdaec2e1c0969c489df8d2d14ace064caf63153675ba
SQL-U02,output_provenance_unobservable,MISSING_OUTPUT_PROVENANCE,diagnostic,diagnostic-02,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,a5ef33707a53b9f99974cdaec2e1c0969c489df8d2d14ace064caf63153675ba
SQL-U02,output_provenance_unobservable,MISSING_OUTPUT_PROVENANCE,diagnostic,diagnostic-03,UNSUPPORTED,UNSUPPORTED,True,True,True,True,True,True,0,False,True,a5ef33707a53b9f99974cdaec2e1c0969c489df8d2d14ace064caf63153675ba
SQL-S01,nested_savepoint_rollback,NONE,enforce,enforce-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,be397f84af5c4935672c0212827f3004c3a3ecf9a30e8143e1bc23b471328691
SQL-S01,nested_savepoint_rollback,NONE,enforce,enforce-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,be397f84af5c4935672c0212827f3004c3a3ecf9a30e8143e1bc23b471328691
SQL-S01,nested_savepoint_rollback,NONE,enforce,enforce-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,be397f84af5c4935672c0212827f3004c3a3ecf9a30e8143e1bc23b471328691
SQL-S02,inner_release_outer_rollback,NONE,enforce,enforce-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,81f010fc2c44240640db2cb6e564da331ca2e4d0921fa0c85702b50b60b6f476
SQL-S02,inner_release_outer_rollback,NONE,enforce,enforce-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,81f010fc2c44240640db2cb6e564da331ca2e4d0921fa0c85702b50b60b6f476
SQL-S02,inner_release_outer_rollback,NONE,enforce,enforce-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,81f010fc2c44240640db2cb6e564da331ca2e4d0921fa0c85702b50b60b6f476
SQL-S03,exception_then_rollback,NONE,enforce,enforce-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,f35fb3a0787fbba28c865a777dd328afe5c50b75bb179392e14c5c780a0a00fb
SQL-S03,exception_then_rollback,NONE,enforce,enforce-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,f35fb3a0787fbba28c865a777dd328afe5c50b75bb179392e14c5c780a0a00fb
SQL-S03,exception_then_rollback,NONE,enforce,enforce-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,f35fb3a0787fbba28c865a777dd328afe5c50b75bb179392e14c5c780a0a00fb
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21a8e2d3eddb82c2bc31f2b6a9c81ecfe64e1eda1e6403efb937179fd5f93622
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21a8e2d3eddb82c2bc31f2b6a9c81ecfe64e1eda1e6403efb937179fd5f93622
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21a8e2d3eddb82c2bc31f2b6a9c81ecfe64e1eda1e6403efb937179fd5f93622
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,a807469b2a454c1249b289f67d80e37ec21421e6504e75463fb614a36d0dec91
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,a807469b2a454c1249b289f67d80e37ec21421e6504e75463fb614a36d0dec91
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,a807469b2a454c1249b289f67d80e37ec21421e6504e75463fb614a36d0dec91
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,953aeb7ba77b95fc53eae34e4dccb683090a5f4924bbfa0eeff9a857082d0c33
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,953aeb7ba77b95fc53eae34e4dccb683090a5f4924bbfa0eeff9a857082d0c33
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,953aeb7ba77b95fc53eae34e4dccb683090a5f4924bbfa0eeff9a857082d0c33
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21c860c5972718534a8846c42ae232f2ef90f9f2a57a57193d35708dd333c049
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21c860c5972718534a8846c42ae232f2ef90f9f2a57a57193d35708dd333c049
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,21c860c5972718534a8846c42ae232f2ef90f9f2a57a57193d35708dd333c049
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,26ad07a762b4bca0380ab1b50eb1c7c1a7d0b1b4b37ce9e682601bd7ef499ece
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,26ad07a762b4bca0380ab1b50eb1c7c1a7d0b1b4b37ce9e682601bd7ef499ece
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,26ad07a762b4bca0380ab1b50eb1c7c1a7d0b1b4b37ce9e682601bd7ef499ece
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,enforce,enforce-01,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,cc6132c90079bc4d8a89e54f8da1bb1900bae8d7e39f27ac24c82c12e334690d
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,enforce,enforce-02,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,cc6132c90079bc4d8a89e54f8da1bb1900bae8d7e39f27ac24c82c12e334690d
SQL-F06,competing_persistent_owner,O1_COMPETING_OWNER,enforce,enforce-03,DETECTED,DETECTED,True,True,True,True,True,True,1,False,True,cc6132c90079bc4d8a89e54f8da1bb1900bae8d7e39f27ac24c82c12e334690d
