case_id,fault_family,expected_verdict,observed_verdict,verdict_match,fresh_process_repetitions,semantic_reproducibility,active_signals,normalized_operator_drift,reference_stress,reported_stress,reference_tangent,reported_tangent,injected_candidate,top_ranked_candidate,preregistration_sha256
OS-B01,BENIGN,PASS_INVARIANT,PASS_INVARIANT,True,3,True,,0.0,-30,-30,-2500,-2500,NONE,C01_PREMATURE_COMMIT,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-B02,BENIGN,PASS_INVARIANT,PASS_INVARIANT,True,3,True,,0.0,-30,-30,-2500,-2500,NONE,C01_PREMATURE_COMMIT,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-F01,PREMATURE_COMMIT,DETECT_LIFECYCLE_DRIFT,DETECT_LIFECYCLE_DRIFT,True,3,True,commit_violation;operator_replay_drift,5.288164665523156,-30,-3.5591766723842184,-2500,10720.41166380789,C01_PREMATURE_COMMIT,C01_PREMATURE_COMMIT,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-F02,PREMATURE_COMMIT,DETECT_LIFECYCLE_DRIFT,DETECT_LIFECYCLE_DRIFT,True,3,True,commit_violation;operator_replay_drift,1.0,-15.80972906403941,0,24630.54187192118,0,C01_PREMATURE_COMMIT,C01_PREMATURE_COMMIT,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-F03,ROLLBACK_OMISSION,DETECT_LIFECYCLE_DRIFT,DETECT_LIFECYCLE_DRIFT,True,3,True,rollback_omission,0.0,-30,-30,-2500,-2500,C02_ROLLBACK_DISPATCH,C02_ROLLBACK_DISPATCH,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-F04,PERSISTENT_HISTORY_ESCAPE,DETECT_LIFECYCLE_DRIFT,DETECT_LIFECYCLE_DRIFT,True,3,True,operator_replay_drift;output_provenance_violation;ownership_violation,8.333333333609971e-07,-30,-30.000025,-2500,-2500,C03_EXTERNAL_STATE_OWNER,C03_EXTERNAL_STATE_OWNER,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-I01,INVALID_CONTROL,INVALID_COMPARISON,INVALID_COMPARISON,True,3,True,declared_replay_target_mismatch,0.0,-30,-29.75,-2500,-2500,NONE,C01_PREMATURE_COMMIT,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
OS-U01,UNSUPPORTED_CONTROL,UNSUPPORTED_OBSERVATION,UNSUPPORTED_OBSERVATION,True,3,True,observation_coverage_missing,0.0,-30,-30,-2500,-2500,NONE,C06_OBSERVABILITY_COVERAGE,DF47113565DB18DB58DAD662B17B5A8F65BB4E3ADD21A96D719C58092161C21D
