case_id,fault_family,injected_candidate,rank,top1,reciprocal_rank,candidate_count,ranking
OS-F01,PREMATURE_COMMIT,C01_PREMATURE_COMMIT,1,True,1.0,6,C01_PREMATURE_COMMIT;C02_ROLLBACK_DISPATCH;C03_EXTERNAL_STATE_OWNER;C04_OPERATOR_VERSION;C05_OUTPUT_PROVENANCE;C06_OBSERVABILITY_COVERAGE
OS-F02,PREMATURE_COMMIT,C01_PREMATURE_COMMIT,1,True,1.0,6,C01_PREMATURE_COMMIT;C02_ROLLBACK_DISPATCH;C03_EXTERNAL_STATE_OWNER;C04_OPERATOR_VERSION;C05_OUTPUT_PROVENANCE;C06_OBSERVABILITY_COVERAGE
OS-F03,ROLLBACK_OMISSION,C02_ROLLBACK_DISPATCH,1,True,1.0,6,C02_ROLLBACK_DISPATCH;C01_PREMATURE_COMMIT;C03_EXTERNAL_STATE_OWNER;C04_OPERATOR_VERSION;C05_OUTPUT_PROVENANCE;C06_OBSERVABILITY_COVERAGE
OS-F04,PERSISTENT_HISTORY_ESCAPE,C03_EXTERNAL_STATE_OWNER,1,True,1.0,6,C03_EXTERNAL_STATE_OWNER;C05_OUTPUT_PROVENANCE;C01_PREMATURE_COMMIT;C02_ROLLBACK_DISPATCH;C04_OPERATOR_VERSION;C06_OBSERVABILITY_COVERAGE
